"Supplier","Price","SKU","Category","Product","Model","SKU Status","Quantities recommended",
"Boomerce"," 595","010109-070103","iPhone","iphone-11128 GBExcellentBlack","iphone-11","Free market","20",
"Boomerce"," 490","010268-361201","Samsung phone","samsung-galaxy-s21-fe6 GB + 128 GBGoodGraphite","samsung-galaxy-s21-fe","Free market","20",
"Boomerce"," 950","020493-048851","Laptop","dell-latitude-7420-core-i7-11th-gen-1416 GBEnglish512 GB SSD","dell-latitude-7420","Free market","19",
"Boomerce"," 578","010109-070203","iPhone","iphone-11128 GBExcellentWhite","iphone-11","Free market","19",
"Boomerce"," 1,546","010126-071503","iPhone","iphone-15128 GBExcellentPink","iphone-15","Free market","18",
"Boomerce"," 899","010114-081203","iPhone","iphone-12-pro256 GBExcellentGraphite","iphone-12-pro","Free market","18",
"Boomerce"," 510","010116-070103","iPhone","iphone-12-mini128 GBExcellentBlack","iphone-12-mini","Free market","17",
"Boomerce"," 295","020304-028251","Laptop","acer-chromebook-celeron-144 GBEnglish16 GB eMMC","acer-chromebook","Free market","17",
"Boomerce"," 643","010113-070102","iPhone","iphone-12128 GBVery GoodBlack","iphone-12","Free market","17",
"Boomerce"," 1,785","010127-07C103","iPhone","iphone-15-pro128 GBExcellentNatural Titanium","iphone-15-pro","Free market","17",
"Boomerce"," 1,536","010123-08B803","iPhone","iphone-14-pro256 GBExcellentDeep Purple","iphone-14-pro","Free market","17",
"Boomerce"," 595","010109-070102","iPhone","iphone-11128 GBVery GoodBlack","iphone-11","Free market","16",
"Boomerce"," 1,580","010124-070503","iPhone","iphone-14-pro-max128 GBExcellentSilver","iphone-14-pro-max","Free market","16",
"Boomerce"," 1,758","010124-085003","iPhone","iphone-14-pro-max256 GBExcellentSpace Black","iphone-14-pro-max","Free market","16",
"Boomerce"," 1,349","010120-080303","iPhone","iphone-13-pro-max256 GBExcellentGold","iphone-13-pro-max","Free market","16",
"Boomerce"," 1,716","010124-080303","iPhone","iphone-14-pro-max256 GBExcellentGold","iphone-14-pro-max","Free market","15",
"Boomerce"," 9,999","03-768-136-46-10-04-17-00-00-02","MacBook","MacBook-Air-(13-inch,-2017)-MacBookAir7,2-1.8GHz dual-core Intel Core i5-8 GB-128 GB-Silver-13-Very Good","MacBook-Air-2017","Free market","15",
"Boomerce"," 249","010103-060601","iPhone","iphone-864 GBGoodSpace Grey","iphone-8","Free market","15",
"Boomerce"," 776","02-59-94-46-18-04-20-22-03-08","Laptop","dell-latitude-5410--intel-core-i7-10th-gen-8 GB-256 GB-Silver-14-English","dell-latitude-5410","Free market","15",
